iter	RMSE
0	75604.25349
1	74438.51367
2	73298.50016
3	72180.19582
4	71088.29051
5	69994.71125
6	68972.35781
7	68012.30284
8	67037.90838
9	66030.62535
10	65089.78853
11	64190.248
12	63262.73898
13	62375.58821
14	61498.66043
15	60669.98715
16	59843.93043
17	59058.14406
18	58246.91951
19	57398.3015
20	56615.63709
21	55853.09809
22	55141.51485
23	54482.38343
24	53827.85497
25	53142.34974
26	52459.8612
27	51827.21267
28	51194.18613
29	50507.19582
30	49907.59878
31	49308.49004
32	48754.98275
33	48152.54607
34	47570.11857
35	47023.12666
36	46447.2343
37	45946.78033
38	45429.14031
39	44872.25136
40	44359.82217
41	43849.63852
42	43387.68616
43	42947.78343
44	42502.60541
45	42080.9514
46	41622.86924
47	41192.47044
48	40775.79146
49	40361.19163
50	39940.66582
51	39543.95156
52	39146.28274
53	38786.42266
54	38464.26657
55	38114.18317
56	37751.26825
57	37429.7184
58	37097.40857
59	36792.44574
60	36465.9446
61	36120.8448
62	35805.06845
63	35505.74824
64	35174.35601
65	34873.11903
66	34592.63272
67	34300.821
68	34021.72629
69	33741.08566
70	33471.12597
71	33206.64898
72	32970.85166
73	32732.36909
74	32492.59871
75	32288.28063
76	32073.35037
77	31868.06116
78	31644.01013
79	31434.85408
80	31226.73308
81	30988.1655
82	30775.75434
83	30582.00924
84	30378.31767
85	30194.66806
86	29972.3161
87	29793.22379
88	29622.90275
89	29479.01591
90	29315.45025
91	29155.51464
92	29016.12432
93	28849.0552
94	28684.16709
95	28517.46461
96	28365.50705
97	28241.8245
98	28072.23805
99	27916.9469
100	27782.80343
101	27661.21501
102	27521.57599
103	27378.39028
104	27238.02779
105	27102.06775
106	26976.40467
107	26855.24951
108	26740.16713
109	26602.97936
110	26488.53235
111	26373.44989
112	26259.26858
113	26152.73967
114	26060.51484
115	25950.3968
116	25850.50158
117	25744.73736
118	25661.01838
119	25560.78659
120	25469.48695
121	25360.72616
122	25264.13088
123	25186.49987
124	25087.43026
125	24985.70625
126	24920.56218
127	24829.14631
128	24755.14121
129	24673.97974
130	24596.67701
131	24504.13159
132	24414.63511
133	24335.67584
134	24267.02781
135	24202.7375
136	24127.86126
137	24065.72231
138	23978.51427
139	23911.72395
140	23828.81594
141	23758.42446
142	23692.07155
143	23630.67048
144	23585.86515
145	23504.33014
146	23452.80797
147	23404.89345
148	23337.04003
149	23265.87858
150	23209.23694
151	23135.38827
152	23079.77902
153	23018.85872
154	22959.34688
155	22911.88633
156	22873.56097
157	22834.89395
158	22784.11203
159	22729.37819
160	22689.36618
161	22639.38901
162	22590.13446
163	22549.6261
164	22495.19323
165	22454.4944
166	22421.69908
167	22387.2423
168	22327.44261
169	22272.4726
170	22222.08778
171	22168.80553
172	22148.18047
173	22109.0177
174	22068.52785
175	22012.363
176	21977.49659
177	21943.74785
178	21902.55339
179	21862.22761
180	21814.79193
181	21780.4302
182	21744.14828
183	21697.35104
184	21662.30788
185	21631.9935
186	21590.90523
187	21554.41626
188	21512.96517
189	21485.69242
190	21450.68151
191	21420.13005
192	21390.56351
193	21358.60784
194	21317.37326
195	21280.515
196	21244.9137
197	21210.75241
198	21187.41852
199	21148.4567
200	21130.14395
201	21097.01877
202	21061.47186
203	21025.19975
204	20984.29694
205	20957.28682
206	20927.39715
207	20910.01073
208	20884.05218
209	20857.0229
210	20822.66158
211	20784.79219
212	20759.52301
213	20735.26531
214	20711.85864
215	20685.14569
216	20664.22668
217	20641.89903
218	20618.93336
219	20585.33859
220	20564.87967
221	20542.80996
222	20519.73753
223	20491.12473
224	20466.71226
225	20440.26715
226	20424.84562
227	20400.04014
228	20377.34524
229	20358.12833
230	20338.87186
231	20322.54617
232	20299.41304
233	20272.68566
234	20257.43548
235	20231.46519
236	20207.30244
237	20182.20544
238	20155.87269
239	20146.65678
240	20126.93339
241	20114.92219
242	20093.93768
243	20073.19682
244	20052.64592
245	20036.51423
246	20014.26535
247	19989.11535
248	19967.87135
249	19949.11913
250	19934.62064
251	19909.62243
252	19890.62357
253	19872.02004
254	19851.77187
255	19834.7908
256	19820.96455
257	19806.07826
258	19790.60212
259	19769.20055
260	19747.60686
261	19730.6439
262	19716.05717
263	19703.58766
264	19686.39737
265	19673.79454
266	19655.481
267	19632.08151
268	19618.05308
269	19599.46885
270	19577.19593
271	19562.40823
272	19540.48646
273	19523.56523
274	19503.54767
275	19494.39909
276	19475.05999
277	19455.23822
278	19438.43001
279	19419.03339
280	19416.65977
281	19405.36805
282	19387.14634
283	19367.96177
284	19348.05954
285	19345.10222
286	19332.74394
287	19325.07165
288	19310.40495
289	19295.30493
290	19280.23782
291	19264.29162
292	19253.22028
293	19234.64787
294	19226.26298
295	19211.77072
296	19192.47065
297	19169.26015
298	19153.46648
299	19132.70891
300	19117.69488
301	19095.33411
302	19091.8826
303	19082.09181
304	19055.87608
305	19043.24812
306	19028.24924
307	19016.6526
308	19003.39418
309	18995.03639
310	18985.33102
311	18970.51199
312	18950.36768
313	18937.75258
314	18920.15937
315	18896.80245
316	18874.97559
317	18872.71299
318	18863.6983
319	18850.98878
320	18838.14407
321	18818.11684
322	18801.97811
323	18782.06449
324	18769.43108
325	18758.36361
326	18734.72854
327	18714.10818
328	18702.97505
329	18690.99935
330	18671.32822
331	18648.98222
332	18641.75697
333	18631.58351
334	18622.84477
335	18609.14187
336	18596.70581
337	18583.23457
338	18581.22459
339	18563.12698
340	18546.10759
341	18535.4216
342	18528.63102
343	18515.88969
344	18497.34151
345	18488.73889
346	18475.41153
347	18466.88759
348	18449.26565
349	18433.39229
350	18420.83341
351	18413.10639
352	18400.90036
353	18388.04911
354	18368.02566
355	18356.51068
356	18344.62443
357	18323.32649
