iter	Passed	Remaining
0	218	1092303
1	252	631175
2	280	467597
3	305	382018
4	374	374510
5	400	333595
6	418	298372
7	433	270378
8	452	250914
9	487	243365
10	518	235325
11	549	228248
12	576	221283
13	591	210757
14	609	202524
15	630	196281
16	663	194449
17	678	187920
18	692	181635
19	729	181715
20	754	178831
21	772	174724
22	813	176129
23	848	175992
24	865	172165
25	884	169223
26	900	165780
27	912	162049
28	927	159056
29	945	156655
30	977	156638
31	995	154611
32	1011	152187
33	1026	149953
34	1039	147436
35	1065	146897
36	1081	145013
37	1089	142219
38	1104	140479
39	1117	138629
40	1127	136429
41	1146	135290
42	1167	134567
43	1183	133345
44	1201	132327
45	1224	131876
46	1233	129960
47	1250	128966
48	1262	127524
49	1277	126426
50	1292	125413
51	1305	124192
52	1318	123089
53	1335	122325
54	1358	122122
55	1391	122876
56	1429	123998
57	1447	123328
58	1463	122528
59	1480	121874
60	1500	121461
61	1513	120516
62	1539	120677
63	1559	120305
64	1573	119472
65	1588	118776
66	1603	118052
67	1618	117381
68	1632	116670
69	1647	116040
70	1663	115494
71	1680	115053
72	1691	114194
73	1706	113614
74	1719	112932
75	1732	112243
76	1746	111672
77	1760	111081
78	1772	110439
79	1785	109807
80	1799	109254
81	1824	109408
82	1847	109431
83	1870	109486
84	1883	108932
85	1897	108398
86	1912	108003
87	1928	107653
88	1945	107335
89	1971	107569
90	1993	107533
91	2012	107353
92	2032	107242
93	2051	107052
94	2069	106858
95	2083	106417
96	2097	106027
97	2110	105567
98	2122	105093
99	2135	104616
100	2147	104186
101	2162	103833
102	2180	103672
103	2199	103529
104	2229	103929
105	2244	103631
106	2279	104247
107	2324	105300
108	2369	106345
109	2387	106114
110	2404	105923
111	2423	105753
112	2438	105479
113	2455	105230
114	2475	105140
115	2491	104893
116	2508	104699
117	2524	104426
118	2540	104187
119	2554	103868
120	2570	103637
121	2584	103325
122	2595	102900
123	2609	102607
124	2623	102326
125	2639	102115
126	2655	101874
127	2671	101670
128	2687	101475
129	2705	101351
130	2719	101086
131	2733	100825
132	2747	100547
133	2756	100110
134	2783	100295
135	2802	100244
136	2821	100156
137	2835	99887
138	2854	99826
139	2880	99993
140	2904	100077
141	2923	100002
142	2939	99823
143	2958	99762
144	2981	99823
145	2994	99548
146	3010	99394
147	3023	99122
148	3037	98903
149	3055	98790
150	3076	98778
151	3105	99039
152	3130	99164
153	3144	98948
154	3155	98643
155	3171	98485
156	3187	98334
157	3202	98150
158	3216	97929
159	3232	97789
160	3246	97587
161	3262	97427
162	3274	97171
163	3287	96931
164	3303	96793
165	3317	96609
166	3354	97092
167	3373	97022
168	3388	96877
169	3404	96738
170	3421	96626
171	3447	96765
172	3467	96757
173	3484	96651
174	3499	96473
175	3511	96246
176	3523	96003
177	3533	95730
178	3547	95532
179	3560	95350
180	3573	95141
181	3585	94917
182	3600	94766
183	3615	94641
184	3630	94501
185	3644	94336
186	3658	94170
187	3678	94150
188	3704	94289
189	3732	94499
190	3763	94749
191	3781	94698
192	3799	94627
193	3815	94525
194	3829	94374
195	3845	94249
196	3865	94251
197	3879	94099
198	3894	93966
199	3908	93809
200	3945	94189
201	3975	94422
202	4004	94620
203	4026	94668
204	4050	94746
205	4077	94883
206	4108	95125
207	4131	95180
208	4162	95423
209	4190	95578
210	4214	95653
211	4240	95765
212	4262	95800
213	4293	96020
214	4314	96028
215	4358	96524
216	4382	96606
217	4406	96667
218	4427	96649
219	4445	96598
220	4478	96844
221	4495	96745
222	4512	96659
223	4553	97083
224	4591	97448
225	4633	97885
226	4677	98343
227	4724	98879
228	4777	99528
229	4805	99657
230	4822	99566
231	4844	99569
232	4877	99786
233	4893	99660
234	4925	99868
235	4952	99980
236	4974	99982
237	5005	100150
238	5027	100151
239	5049	100143
240	5068	100094
241	5084	99967
242	5106	99964
243	5137	100137
244	5162	100200
245	5188	100265
246	5204	100145
247	5219	100006
248	5233	99854
249	5248	99718
250	5269	99697
251	5286	99601
252	5301	99472
253	5324	99496
254	5364	99828
255	5380	99707
256	5397	99603
257	5419	99603
258	5438	99552
259	5457	99497
260	5485	99595
261	5494	99370
262	5508	99217
263	5521	99053
264	5536	98927
265	5551	98808
266	5572	98781
267	5586	98646
268	5602	98538
269	5618	98422
270	5635	98339
271	5651	98232
272	5670	98191
273	5688	98108
274	5703	97989
275	5718	97884
276	5733	97761
277	5749	97651
278	5770	97638
279	5787	97563
280	5803	97456
281	5822	97405
282	5842	97377
283	5861	97332
284	5878	97254
285	5893	97145
286	5909	97049
287	5932	97056
288	5951	97008
289	5972	96998
290	5988	96901
291	6001	96769
292	6016	96657
293	6031	96547
294	6047	96449
295	6066	96407
296	6080	96279
297	6099	96239
298	6116	96161
299	6142	96239
300	6163	96216
301	6177	96093
302	6194	96028
303	6212	95960
304	6233	95954
305	6255	95956
306	6282	96039
307	6307	96085
308	6352	96439
309	6384	96589
310	6407	96611
311	6442	96799
312	6460	96747
313	6496	96945
314	6525	97058
315	6546	97030
316	6563	96958
317	6586	96976
318	6603	96896
319	6618	96794
320	6630	96652
321	6652	96653
322	6670	96592
323	6687	96519
324	6704	96435
325	6721	96372
326	6737	96289
327	6753	96189
