iter	Passed	Remaining
426	2932	31406
427	2935	31352
428	2943	31363
429	2950	31352
430	2952	31294
431	2954	31236
432	2956	31181
433	2960	31146
434	2962	31089
435	2964	31030
436	2966	30971
437	2967	30912
438	2970	30856
439	2973	30812
440	2976	30772
441	2978	30716
442	2980	30663
443	2983	30616
444	2990	30613
445	2998	30616
446	3000	30560
447	3002	30503
448	3005	30464
449	3009	30430
450	3011	30374
451	3013	30318
452	3015	30263
453	3017	30212
454	3020	30174
455	3025	30144
456	3026	30090
457	3028	30038
458	3030	29983
459	3034	29952
460	3040	29936
461	3044	29903
462	3047	29859
463	3048	29806
464	3051	29755
465	3055	29724
466	3057	29678
467	3059	29629
468	3061	29578
469	3063	29525
470	3065	29473
471	3067	29428
472	3071	29399
473	3074	29354
474	3076	29305
475	3077	29251
476	3079	29202
477	3083	29174
478	3090	29174
479	3095	29144
480	3096	29094
481	3098	29042
482	3101	29005
483	3105	28976
484	3107	28926
485	3108	28875
486	3110	28827
487	3112	28777
488	3114	28729
489	3116	28688
490	3121	28665
491	3123	28615
492	3124	28567
493	3129	28542
494	3133	28514
495	3138	28499
496	3141	28461
497	3144	28422
498	3145	28376
499	3148	28335
500	3152	28312
501	3154	28266
502	3156	28220
503	3158	28174
504	3160	28127
505	3161	28080
506	3164	28040
507	3168	28017
508	3170	27973
509	3172	27931
510	3175	27894
511	3178	27859
512	3184	27857
513	3190	27842
514	3192	27803
515	3194	27760
516	3197	27729
517	3201	27698
518	3203	27656
519	3204	27610
520	3207	27577
521	3209	27532
522	3211	27495
523	3215	27465
524	3217	27429
525	3219	27385
526	3221	27341
527	3222	27296
528	3226	27268
529	3232	27259
530	3235	27232
531	3239	27202
532	3240	27159
533	3242	27117
534	3245	27086
535	3249	27066
536	3251	27025
537	3253	26980
538	3254	26935
539	3256	26894
540	3258	26855
541	3261	26822
542	3264	26797
543	3266	26758
544	3268	26715
545	3270	26678
546	3273	26647
547	3276	26622
548	3283	26623
549	3291	26634
550	3303	26671
551	3308	26660
552	3316	26668
553	3322	26666
554	3330	26675
555	3337	26678
556	3343	26666
557	3348	26654
558	3351	26629
559	3353	26589
560	3355	26551
561	3358	26520
562	3363	26510
563	3365	26472
564	3368	26439
565	3371	26413
566	3377	26402
567	3383	26402
568	3386	26368
569	3387	26329
570	3390	26296
571	3394	26275
572	3397	26252
573	3401	26229
574	3405	26209
575	3411	26203
576	3415	26179
577	3419	26163
578	3427	26169
579	3432	26161
580	3436	26138
581	3443	26140
582	3446	26113
583	3448	26079
584	3451	26045
585	3453	26009
586	3457	25991
587	3461	25970
588	3463	25934
589	3465	25899
590	3467	25869
591	3471	25849
592	3476	25837
593	3482	25828
594	3483	25790
595	3486	25765
596	3490	25745
597	3493	25717
598	3495	25681
599	3497	25646
600	3499	25611
601	3501	25578
602	3503	25548
603	3507	25529
604	3509	25492
605	3511	25459
606	3513	25424
607	3515	25397
