iter	RMSE
0	75693.68031
1	74586.72373
2	73489.47545
3	72442.53588
4	71392.35628
5	70390.52739
6	69417.05379
7	68372.17578
8	67418.92344
9	66443.23037
10	65516.29898
11	64628.21017
12	63699.07058
13	62852.61063
14	61952.86261
15	61059.95306
16	60297.82363
17	59550.43581
18	58800.61624
19	58088.20865
20	57407.74616
21	56667.58132
22	55914.04185
23	55190.07853
24	54526.47999
25	53788.01923
26	53118.05723
27	52394.32357
28	51732.77947
29	51107.76413
30	50483.34705
31	49902.54531
32	49289.55028
33	48697.39255
34	48142.04458
35	47605.53146
36	47032.62159
37	46495.09082
38	45994.81284
39	45482.62504
40	44979.59171
41	44501.18076
42	44006.58875
43	43528.15759
44	43052.45886
45	42640.18631
46	42221.691
47	41776.08084
48	41342.79633
49	40944.58657
50	40543.90408
51	40134.53192
52	39729.33523
53	39298.85097
54	38933.69986
55	38570.87451
56	38190.43943
57	37815.8322
58	37489.01208
59	37127.01008
60	36806.48043
61	36489.70705
62	36182.81787
63	35895.67092
64	35584.29863
65	35273.53544
66	34966.74094
67	34672.54462
68	34383.96127
69	34097.28551
70	33815.02039
71	33558.41876
72	33294.28068
73	33019.86036
74	32782.98313
75	32527.01886
76	32290.01785
77	32052.53375
78	31811.39695
79	31590.24949
80	31373.90081
81	31126.98181
82	30927.24096
83	30725.64129
84	30522.18751
85	30350.66882
86	30166.17863
87	29972.96974
88	29797.62857
89	29595.5339
90	29418.18822
91	29236.89155
92	29082.66239
93	28936.86419
94	28782.79281
95	28599.50533
96	28418.25832
97	28259.84615
98	28099.21122
99	27948.59517
100	27794.05647
101	27653.14244
102	27506.34616
103	27379.667
104	27239.59805
105	27114.0845
106	26992.37909
107	26877.77957
108	26759.95193
109	26653.56383
110	26506.36956
111	26380.97313
112	26249.94674
113	26145.0337
114	26018.09069
115	25914.5286
116	25780.54948
117	25664.57542
118	25541.62888
119	25445.2794
120	25350.1076
121	25230.07235
122	25140.70899
123	25020.99375
124	24933.61717
125	24839.71176
126	24760.23211
127	24678.97046
128	24584.1992
129	24503.50647
130	24415.12423
131	24315.5626
132	24235.02464
133	24150.1159
134	24068.40906
135	23971.79472
136	23897.41807
137	23812.27912
138	23741.12455
139	23679.70268
140	23603.43938
141	23532.80854
142	23456.96576
143	23378.78762
144	23313.37475
145	23240.34641
146	23172.29065
147	23108.22295
148	23044.81252
149	22973.45522
150	22897.63839
151	22832.4619
152	22775.71285
153	22700.52865
154	22647.75564
155	22581.68424
156	22509.80612
157	22469.36461
158	22413.49069
159	22357.27909
160	22290.18337
161	22240.5817
162	22179.21776
163	22136.98323
164	22072.49073
165	22013.20002
166	21965.04122
167	21940.09728
168	21889.16336
169	21864.30537
170	21818.36991
171	21774.89699
172	21726.40053
173	21684.66208
174	21642.91774
175	21582.2991
176	21556.48004
177	21512.4233
178	21474.13438
179	21420.00336
180	21380.10572
181	21341.18841
182	21284.95054
183	21243.67165
184	21208.86001
185	21158.43197
186	21123.50356
187	21084.83414
188	21036.85145
189	20995.268
190	20951.27456
191	20907.03478
192	20876.26713
193	20837.54214
194	20807.54921
195	20770.30059
196	20734.81462
197	20701.41051
198	20657.46262
199	20625.91473
200	20587.82491
201	20548.27273
202	20508.95483
203	20482.78538
204	20440.31001
205	20405.85591
206	20373.08455
207	20348.00107
208	20320.35477
209	20280.90424
210	20254.00648
211	20229.96241
212	20200.95552
213	20179.27234
214	20143.37227
215	20114.15609
216	20070.94743
217	20043.52331
218	20017.59336
219	19993.6305
220	19964.11247
221	19935.24842
222	19909.15788
223	19877.4326
224	19862.18609
225	19833.77639
226	19795.35329
227	19767.88487
228	19735.87846
229	19705.58214
230	19684.75027
231	19667.82124
232	19643.6027
233	19621.06909
234	19596.64625
235	19579.50551
236	19558.12086
237	19533.17058
238	19508.31318
239	19485.74401
240	19462.87647
241	19442.14793
242	19426.38516
243	19398.2176
244	19377.45904
245	19353.27637
246	19321.41319
247	19309.13533
248	19292.5408
249	19267.92356
250	19252.99021
251	19230.58974
252	19205.14038
253	19182.17789
254	19158.38935
255	19131.50987
256	19114.74778
257	19092.33492
258	19075.81409
259	19058.60992
260	19039.77936
261	19017.1692
262	18997.34242
263	18983.4165
264	18964.31109
265	18942.70261
266	18923.65417
267	18898.24235
268	18883.91235
269	18861.14572
270	18845.02926
271	18827.30637
272	18805.18222
273	18787.26828
274	18773.08242
275	18753.24125
276	18737.76465
277	18717.14163
278	18698.07958
279	18678.7865
280	18652.45449
281	18643.99224
282	18626.18174
283	18609.9992
284	18586.98039
285	18571.72156
286	18560.762
287	18553.50067
288	18537.07765
289	18525.29895
290	18515.90911
291	18506.81439
292	18492.62273
293	18475.75041
294	18463.98596
295	18448.51125
296	18435.56679
297	18430.54782
298	18422.54698
299	18407.87461
300	18389.93829
301	18380.90628
302	18361.77452
303	18360.4349
304	18343.52196
305	18328.40065
306	18310.02479
307	18296.57271
308	18283.48216
309	18275.32349
310	18272.92409
311	18259.03318
312	18248.31932
313	18234.4255
314	18224.17312
315	18210.41798
316	18202.63898
317	18188.35293
318	18177.38265
319	18167.93806
320	18149.03053
321	18143.18629
322	18136.06208
323	18126.64744
324	18117.22253
325	18101.88508
326	18082.93699
327	18073.87757
328	18068.15857
329	18045.87224
330	18036.67396
331	18022.90615
332	18009.48196
333	18006.0179
334	17992.51554
335	17974.05254
336	17966.99592
337	17961.82839
338	17954.17286
339	17942.33137
340	17927.71495
341	17913.29175
342	17894.79874
343	17887.80664
344	17878.50982
345	17865.18712
346	17857.57715
347	17836.05458
348	17816.62314
349	17805.39149
350	17797.18167
351	17786.98499
352	17776.7744
353	17766.17261
354	17745.02659
355	17735.46907
356	17714.49799
357	17704.65874
358	17687.95023
359	17674.50711
360	17658.23754
361	17639.01118
362	17630.20261
363	17622.45336
364	17616.29244
365	17606.81705
366	17592.52823
367	17583.06054
368	17569.41299
369	17560.89276
370	17546.87095
371	17534.93469
372	17524.61594
373	17517.25895
374	17508.28246
375	17498.15103
376	17485.6147
377	17474.59889
378	17465.12382
379	17456.8067
380	17447.47759
381	17427.25191
382	17418.33103
383	17408.30208
384	17402.26773
385	17384.6009
386	17375.39707
387	17365.90211
388	17350.72122
389	17340.66322
390	17332.66913
391	17324.43638
392	17311.08796
393	17302.79884
394	17290.14358
395	17281.6095
396	17278.43373
397	17275.4075
398	17262.55593
399	17255.58703
400	17246.64395
401	17230.25204
402	17218.57189
403	17210.6513
404	17197.53097
405	17189.68988
406	17175.65575
407	17166.82747
408	17152.41812
409	17141.86002
410	17134.43376
411	17125.40195
412	17111.22004
413	17095.63611
414	17084.24876
415	17075.97777
416	17072.33024
417	17068.72507
418	17062.15353
419	17042.89279
420	17029.83033
421	17021.87893
422	17016.76455
423	17004.61053
424	16999.99415
425	16988.11556
426	16975.98668
427	16962.87093
428	16949.64457
429	16937.53632
430	16930.81601
431	16924.33209
432	16920.10096
433	16913.70299
434	16898.56598
435	16890.04125
436	16878.39216
437	16875.36842
438	16867.55611
439	16853.39559
440	16844.24764
441	16834.76504
442	16816.70768
443	16812.55237
444	16802.03198
445	16789.61363
446	16786.00174
447	16779.57453
448	16773.36512
449	16758.23722
450	16751.96612
451	16736.95046
452	16733.04561
453	16726.01087
454	16709.06157
455	16697.83225
456	16682.21802
457	16668.81163
458	16660.88444
459	16648.94112
460	16642.39452
461	16629.89895
462	16616.44582
463	16610.11171
464	16599.46706
465	16591.11203
466	16574.01262
467	16563.5718
468	16548.52296
469	16541.15906
470	16534.8749
471	16528.5427
