iter	Passed	Remaining
0	16	80662
1	30	76610
2	39	66623
3	46	58061
4	142	141887
5	160	133264
6	370	264488
7	385	240622
8	394	218789
9	405	202179
10	417	189403
11	432	179630
12	442	169582
13	453	161527
14	470	156290
15	486	151580
16	503	147492
17	523	144859
18	539	141490
19	553	137797
20	572	135744
21	591	133899
22	606	131314
23	633	131331
24	651	129746
25	680	130175
26	724	133422
27	738	131108
28	749	128496
29	757	125554
30	768	123124
31	774	120269
32	787	118558
33	795	116257
34	803	113991
35	812	112061
36	819	109958
37	828	108185
38	836	106349
39	843	104639
40	851	102939
41	858	101360
42	869	100184
43	879	99038
44	887	97691
45	900	97007
46	913	96312
47	924	95394
48	936	94651
49	947	93797
50	953	92564
51	964	91780
52	971	90686
53	984	90177
54	995	89502
55	1002	88471
56	1011	87748
57	1018	86804
58	1028	86099
59	1034	85157
60	1040	84224
61	1047	83459
62	1055	82733
63	1064	82135
64	1073	81471
65	1085	81124
66	1093	80540
67	1100	79849
68	1110	79368
69	1118	78784
70	1127	78289
71	1135	77721
72	1465	98887
73	1483	98752
74	1498	98377
75	1514	98129
76	1529	97759
77	1543	97413
78	1549	96546
79	1558	95861
80	1565	95071
81	1577	94622
82	1584	93854
83	1593	93261
84	1599	92509
85	1608	91916
86	1614	91167
87	1623	90613
88	1630	89946
89	1636	89292
90	1645	88743
91	1652	88136
92	1659	87582
93	1666	86954
94	1678	86674
95	1685	86112
96	1695	85687
97	1702	85162
98	1710	84687
99	1718	84225
100	1726	83765
101	1734	83273
102	1742	82857
103	1753	82547
104	1759	82041
105	1767	81618
106	1778	81344
107	1787	80977
108	1793	80479
109	1800	80047
110	1808	79652
111	1815	79212
112	1823	78858
113	1829	78397
114	1837	78063
115	1841	77554
116	1852	77326
117	1860	76989
118	1869	76694
119	1875	76288
120	1889	76197
121	1902	76076
122	1911	75811
123	1923	75654
124	1935	75497
125	1949	75394
126	1966	75466
127	1974	75170
128	1983	74903
129	1992	74640
130	2001	74384
131	2007	74033
132	2013	73684
133	2022	73429
134	2028	73090
135	2036	72823
136	2042	72502
137	2059	72577
138	2069	72369
139	2075	72043
140	2086	71897
141	2095	71702
142	2107	71580
143	2115	71339
144	2122	71067
145	2129	70808
146	2136	70548
147	2143	70267
148	2155	70177
149	2169	70149
150	2189	70310
151	2199	70164
152	2205	69870
153	2214	69680
154	2220	69404
155	2227	69168
156	2236	68979
157	2238	68600
158	2246	68399
159	2253	68165
160	2260	67953
161	2268	67738
162	2274	67506
163	2286	67423
164	2295	67257
165	2301	67030
166	2307	66791
167	2313	66551
168	2320	66320
169	2328	66169
170	2334	65934
171	2341	65718
172	2349	65560
173	2355	65327
174	2363	65172
175	2370	64973
176	2387	65044
177	2400	65034
178	2415	65069
179	2429	65069
180	2442	65020
181	2454	64980
182	2547	67051
183	2571	67312
184	2602	67739
185	2624	67928
186	2631	67724
187	2637	67515
188	2647	67400
189	2654	67202
190	2665	67114
191	2673	66942
192	2685	66879
193	2694	66745
194	2700	66554
195	2710	66442
196	2717	66250
197	2726	66117
198	2732	65928
199	2740	65776
200	2748	65612
201	2755	65461
202	2764	65317
203	2771	65161
204	2782	65080
205	2790	64951
206	2797	64781
207	2804	64619
208	2812	64474
209	2819	64322
210	2828	64186
211	2834	64026
212	2844	63926
213	2850	63754
214	2860	63652
215	2866	63490
216	2881	63502
217	2892	63457
218	2903	63386
219	2914	63331
220	2924	63240
221	2930	63075
222	2941	63013
223	2949	62885
224	2959	62802
225	2965	62652
226	2978	62629
227	2987	62521
228	2994	62388
229	3001	62256
230	3009	62127
231	3017	62006
232	3035	62102
233	3047	62074
234	3059	62038
235	3066	61896
236	3078	61867
237	3088	61786
238	3094	61643
239	3102	61529
240	3110	61414
241	3118	61308
242	3126	61213
243	3137	61147
244	3144	61019
245	3153	60938
246	3163	60874
247	3181	60969
248	3195	60974
249	3206	60920
250	3213	60808
251	3223	60729
252	3230	60605
253	3238	60512
254	3245	60395
255	3254	60315
256	3261	60184
257	3273	60162
258	3281	60066
259	3289	59977
260	3297	59874
261	3306	59789
262	3313	59682
263	3323	59615
264	3330	59511
265	3338	59414
266	3347	59341
267	3354	59221
268	3369	59254
269	3382	59258
270	3389	59141
271	3398	59073
272	3406	58977
273	3415	58905
274	3421	58788
275	3429	58695
276	3438	58624
277	3445	58524
278	3453	58441
279	3463	58380
280	3478	58416
281	3487	58345
282	3496	58282
283	3503	58176
284	3511	58089
285	3519	58015
286	3527	57920
287	3536	57856
288	3602	58724
289	3656	59393
290	3689	59705
291	3752	60495
292	3774	60639
293	3790	60667
294	3803	60659
295	3815	60641
